Word,Rank,Frequency
the,1,125750
and,2,78848
of,3,70080
to,4,46446
a,5,32505
in,6,31959
I,7,30256
that,8,27301
he,9,22203
his,10,20594
it,11,19735
was,12,18564
for,13,16860
not,14,16846
with,15,16828
And,16,16533
is,17,15948
be,18,15846
you,19,14667
as,20,13336
all,21,12969
him,22,12938
they,23,11539
shall,24,11458
her,25,11173
them,26,10222
had,27,10184
have,28,9901
s,29,9793
my,30,9582
said,31,9410
me,32,9386
but,33,9254
unto,34,8953
from,35,8647
at,36,8644
which,37,8435
on,38,8195
by,39,8012
this,40,7706
The,41,7560
their,42,7517
she,43,7450
will,44,7133
were,45,6815
LORD,46,6657
are,47,6643
so,48,6340
thou,49,5928
or,50,5901
one,51,5761
out,52,5651
man,53,5373
thy,54,5296
when,55,5288
there,56,5225
up,57,4955
no,58,4910
God,59,4885
your,60,4847
thee,61,4737
an,62,4730
But,63,4685
upon,64,4467
ye,65,4361
do,66,4250
we,67,4219
what,68,4133
into,69,4031
more,70,3980
if,71,3964
would,72,3933
very,73,3862
He,74,3642
who,75,3606
could,76,3530
been,77,3409
now,78,3398
like,79,3355
before,80,3335
any,81,3329
came,82,3313
day,83,3280
come,84,3220
know,85,2997
am,86,2925
did,87,2914
then,88,2910
1,89,2892
than,90,2871
house,91,2850
little,92,2827
2,93,2809
us,94,2791
people,95,2773
great,96,2770
down,97,2747
see,98,2746
made,99,2728
every,100,2710
good,101,2702
For,102,2649
say,103,2644
men,104,2641
time,105,2636
3,106,2636
king,107,2635
Israel,108,2591
d,109,2566
some,110,2562
It,111,2558
about,112,2530
4,113,2519
go,114,2517
our,115,2515
should,116,2498
over,117,2495
hath,118,2462
may,119,2435
other,120,2421
after,121,2419
hand,122,2417
these,123,2400
son,124,2393
only,125,2372
7,126,2368
Mr,127,2351
such,128,2347
5,129,2331
6,130,2316
went,131,2303
even,132,2292
must,133,2280
much,134,2269
two,135,2269
against,136,2255
t,137,2228
children,138,2223
9,139,2222
own,140,2220
8,141,2207
Then,142,2171
make,143,2166
can,144,2166
10,145,2133
11,146,2112
also,147,2074
again,148,2028
land,149,2021
O,150,1994
away,151,1987
12,152,1979
thing,153,1967
things,154,1953
might,155,1938
well,156,1927
13,157,1916
way,158,1914
old,159,1911
let,160,1905
14,161,1874
yet,162,1867
how,163,1858
Mrs,164,1853
first,165,1846
15,166,1803
never,167,1765
16,168,1699
himself,169,1697
long,170,1690
saying,171,1685
You,172,1675
father,173,1673
give,174,1669
shalt,175,1665
think,176,1655
What,177,1647
Lord,178,1620
She,179,1620
because,180,1619
being,181,1618
ever,182,1617
saw,183,1615
18,184,1607
has,185,1603
In,186,1586
heard,187,1585
To,188,1564
They,189,1559
